Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2015,December,2 Eastern, Strathbogie,506,4973
2015,December,2 Eastern, Towong,194,3230.6
2015,December,2 Eastern, Wangaratta,2410,8563.4
2015,December,2 Eastern, Wellington,4398,10187.2
2015,December,2 Eastern, Whitehorse,8365,5018.6
2015,December,2 Eastern, Wodonga,3554,9061
2015,December,2 Eastern, Yarra Ranges,7910,5156.8
2015,December,2 Eastern,Total,109062,6689.9
2015,December,3 Southern Metro, Bayside,4506,4449.6
2015,December,3 Southern Metro, Cardinia,7321,7931.9
2015,December,3 Southern Metro, Casey,21033,7022
2015,December,3 Southern Metro, Frankston,14832,10764.2
2015,December,3 Southern Metro, Glen Eira,6488,4446.2
2015,December,3 Southern Metro, Greater Dandenong,19494,12491.3
2015,December,3 Southern Metro, Kingston,11023,7055
2015,December,3 Southern Metro, Mornington Peninsula,11047,6955.2
2015,December,3 Southern Metro, Port Phillip,12457,11709.8
2015,December,3 Southern Metro, Stonnington,10107,9355.9
2015,December,3 Southern Metro,Total,118308,8090.2
2015,December,4 Western, Ararat,1257,10795.3
2015,December,4 Western, Ballarat,11307,11142.2
2015,December,4 Western, Buloke,222,3520.5
2015,December,4 Western, Campaspe,3069,8199.5
2015,December,4 Western, Central Goldfields,1264,9760.6
2015,December,4 Western, Colac-Otway,1678,7903.9
2015,December,4 Western, Corangamite,681,4184.6
2015,December,4 Western, Gannawarra,587,5571.4
2015,December,4 Western, Glenelg,1583,8026.6
2015,December,4 Western, Golden Plains,672,3141.9
2015,December,4 Western, Greater Bendigo,8413,7654.6
2015,December,4 Western, Greater Geelong,20862,8956.5
2015,December,4 Western, Hepburn,825,5380.2
2015,December,4 Western, Hindmarsh,219,3770.7
2015,December,4 Western, Horsham,3043,15374.9
2015,December,4 Western, Loddon,424,5630.1
2015,December,4 Western, Macedon Ranges,2126,4584.6
2015,December,4 Western, Mildura,6177,11405.9
2015,December,4 Western, Moorabool,2177,6857.1
2015,December,4 Western, Mount Alexander,1031,5485.8
2015,December,4 Western, Moyne,586,3532
2015,December,4 Western, Northern Grampians,1150,9876.3
2015,December,4 Western, Pyrenees,496,6909
2015,December,4 Western, Queenscliffe,175,5966.6
2015,December,4 Western, Southern Grampians,1149,7109.3
2015,December,4 Western, Surf Coast,1540,5198.3
2015,December,4 Western, Swan Hill,2269,10860.1
2015,December,4 Western, Warrnambool,2799,8231.1
2015,December,4 Western, West Wimmera,157,3950.7
2015,December,4 Western, Yarriambiack,459,6724.3
2015,December,4 Western,Total,78397,8242.3
2015,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1262,
2015,December,Justice Institutions and Immigration Facilities,Total,1262,
2015,December,Unincorporated Vic, Unincorporated Vic,118,
2015,December,Unincorporated Vic,Total,118,
2014,December,1 North West Metro, Banyule,8933,7140.3
2014,December,1 North West Metro, Brimbank,17366,8750
2014,December,1 North West Metro, Darebin,14482,9686.2
2014,December,1 North West Metro, Hobsons Bay,7025,7769.6
2014,December,1 North West Metro, Hume,17761,9285.4
2014,December,1 North West Metro, Maribyrnong,8157,9891.7
2014,December,1 North West Metro, Melbourne,33042,25819.1
2014,December,1 North West Metro, Melton,9828,7600.4
2014,December,1 North West Metro, Moonee Valley,8483,7203.5
2014,December,1 North West Metro, Moreland,12696,7736.8
2014,December,1 North West Metro, Nillumbik,2050,3231.8
2014,December,1 North West Metro, Whittlesea,13590,7232.6
2014,December,1 North West Metro, Wyndham,12977,6439.8
2014,December,1 North West Metro, Yarra,12859,14741.8
2014,December,1 North West Metro,Total,179249,9353.1
2014,December,2 Eastern, Alpine,467,3779.8
2014,December,2 Eastern, Bass Coast,2572,8058.4
2014,December,2 Eastern, Baw Baw,3810,8168.3
2014,December,2 Eastern, Benalla,1164,8375.3
2014,December,2 Eastern, Boroondara,6787,3930.8
2014,December,2 Eastern, East Gippsland,3916,8844.3
2014,December,2 Eastern, Greater Shepparton,7261,11359.7
2014,December,2 Eastern, Indigo,441,2803.2
2014,December,2 Eastern, Knox,9540,6059.7
2014,December,2 Eastern, Latrobe,11883,16029.1
2014,December,2 Eastern, Manningham,4026,3370.8
2014,December,2 Eastern, Mansfield,571,6801.7
2014,December,2 Eastern, Maroondah,7763,6967.3
2014,December,2 Eastern, Mitchell,3289,8415.2
2014,December,2 Eastern, Moira,1423,4890
2014,December,2 Eastern, Monash,9149,4914.9
2014,December,2 Eastern, Murrindindi,671,4902.5
2014,December,2 Eastern, South Gippsland,1201,4210.9
2014,December,2 Eastern, Strathbogie,494,4931.1
2014,December,2 Eastern, Towong,196,3276.5
2014,December,2 Eastern, Wangaratta,2511,9012.3
2014,December,2 Eastern, Wellington,3902,9085.4
2014,December,2 Eastern, Whitehorse,7333,4462.6
2014,December,2 Eastern, Wodonga,3172,8267.1
2014,December,2 Eastern, Yarra Ranges,7055,4642.4
2014,December,2 Eastern,Total,100597,6247.4
2014,December,3 Southern Metro, Bayside,4260,4268.7
2014,December,3 Southern Metro, Cardinia,5595,6352.9
2014,December,3 Southern Metro, Casey,17613,6117
2014,December,3 Southern Metro, Frankston,14902,10942.8
2014,December,3 Southern Metro, Glen Eira,5353,3725.3
2014,December,3 Southern Metro, Greater Dandenong,15962,10492
2014,December,3 Southern Metro, Kingston,9468,6139.7
2014,December,3 Southern Metro, Mornington Peninsula,10443,6672.8
2014,December,3 Southern Metro, Port Phillip,11886,11379.5
2014,December,3 Southern Metro, Stonnington,9609,9074.2
2014,December,3 Southern Metro,Total,105091,7354.8
2014,December,4 Western, Ararat,1018,8806.2
2014,December,4 Western, Ballarat,10221,10229.8
2014,December,4 Western, Buloke,216,3409.6
2014,December,4 Western, Campaspe,2948,7895.4
2014,December,4 Western, Central Goldfields,1097,8514.4
2014,December,4 Western, Colac-Otway,1535,7264.2
2014,December,4 Western, Corangamite,671,4106.5
2014,December,4 Western, Gannawarra,546,5183.2
2014,December,4 Western, Glenelg,1730,8757.3
2014,December,4 Western, Golden Plains,577,2760.9
2014,December,4 Western, Greater Bendigo,8641,8004.3
2014,December,4 Western, Greater Geelong,18522,8132.8
2014,December,4 Western, Hepburn,616,4056.9
2014,December,4 Western, Hindmarsh,228,3901.4
2014,December,4 Western, Horsham,2379,12046.8
2014,December,4 Western, Loddon,531,7067.7
2014,December,4 Western, Macedon Ranges,2089,4594.1
2014,December,4 Western, Mildura,5937,11048.3
2014,December,4 Western, Moorabool,1927,6202.9
2014,December,4 Western, Mount Alexander,1039,5615.9
